Transaction ID,Customer ID,Product ID,Quantity Sold,Unit Price,Total Price,Timestamp
101,11,13,5,11.03,55.15,2023-03-24 22:23:56
102,2,5,3,23.15,69.45,2023-10-28 12:37:23
103,4,24,3,66.05,198.15,2023-04-28 13:01:52
104,14,9,5,26.87,134.35,2023-06-05 05:55:17
105,25,6,1,17.94,17.94,2023-05-29 21:37:52
106,18,12,4,56.0,224.0,2023-01-30 04:28:16
107,8,8,3,85.61,256.83,2023-11-25 14:12:42
108,30,16,1,37.4,37.4,2023-07-17 13:10:29
109,34,29,3,65.79,197.37,2023-07-18 06:08:41
110,49,9,4,70.39,281.56,2023-07-26 11:24:17
