Product_ID,Product_Name,Category,Supplier,Price_Range
100,Product 8,Home & Kitchen,Supplier C,21.79818545051389
101,Product 4,Clothing,Supplier B,24.299683205194356
102,Product 4,Sports,Supplier C,87.77036819312386
103,Product 3,Clothing,Supplier B,63.360001277137044
104,Product 10,Clothing,Supplier C,105.13909945232119
105,Product 8,Books,Supplier A,96.82290253696989
106,Product 10,Books,Supplier B,79.6443840461422
107,Product 4,Clothing,Supplier B,135.1704289612344
108,Product 9,Clothing,Supplier C,73.42962354504823
109,Product 2,Home & Kitchen,Supplier B,63.852060813134834
